Symbol,Sum
2000-01-31,-0.0701764660417579
2000-02-29,-0.38791692701395997
2000-03-31,0.08848609727113821
2000-04-28,-0.2638256284791877
2000-05-31,0.16711352905957236
2000-06-30,0.16151053935063864
2000-07-31,0.07566919959935348
2000-08-31,0.13214482377595868
2000-09-29,-0.14831942623003017
2000-10-31,-0.07323619359399969
2000-11-30,-0.011183825959506444
2000-12-26,-0.06369115515489003
2001-01-31,0.30446498535752275
2001-02-28,0.07318947283862526
2001-03-30,-0.07324043941814642
2001-04-30,0.06717628205644421
2001-05-31,0.14900171547221688
2001-06-29,0.05281452402115955
2001-07-31,-0.19396519797641099
2001-08-31,0.018504386733250788
2001-09-28,-0.32989774760403145
2001-10-31,0.148403307021797
2001-11-30,0.18357946422592678
2001-12-28,0.10761484532008896
2002-01-31,0.05144466859003562
2002-02-28,0.18290456336096472
2002-03-29,-0.019928471448705326
2002-04-30,0.05656420782347664
2002-05-31,-0.121149269245161
2002-06-28,-1.8581785074601471
2002-07-31,-0.17343994829039147
2002-08-30,0.035981935085657606
2002-09-30,-0.24289110217360763
2002-10-31,0.06879265301315547
2002-11-29,0.06871811008413208
2002-12-30,-0.1632104120754903
2003-01-30,-0.13370217967061201
2003-02-28,-0.08261641144974922
2003-03-31,-0.18411717509667766
2003-04-30,0.10122256173421547
2003-05-30,0.061730647305402266
2003-06-30,0.2468461662571097
2003-07-31,0.16122901907409137
2003-08-29,0.008672259677553064
2003-09-30,-0.163429491256942
2003-10-31,0.028280391211846792
2003-11-28,0.03961990586150715
2003-12-30,0.10382184329053615
2004-01-30,0.0302833399590845
2004-02-27,0.04151168251686782
2004-03-31,-0.008432736881421595
2004-04-30,-0.09313443252081885
2004-05-31,-0.06652078377868989
2004-06-30,0.1278810282430892
2004-07-30,-0.016669295892477665
2004-08-31,0.08804629311380838
2004-09-30,0.03621745996185859
2004-10-29,0.04739241641480374
2004-11-30,-0.052392272806077965
2004-12-30,0.04122338896680589
2005-01-31,0.0965787922242606
2005-02-28,0.10657052605239976
2005-03-31,-0.04615910717199711
2005-04-29,-0.07408145217167997
2005-05-31,-0.0028577330360246354
2005-06-30,0.01284096236196353
2005-07-29,-0.003410519855324536
2005-08-31,0.01750777403435532
2005-09-30,0.14678637167708686
2005-10-31,-0.19676212585727523
2005-11-30,0.08538484393603996
2005-12-29,-0.07417199640521728
2006-01-31,0.007764986371718831
2006-02-28,-0.0483205621097361
2006-03-31,-0.038805149471412004
2006-04-28,0.048172647308270124
2006-05-30,-0.056431399447427116
2006-06-30,0.098012327614636
2006-07-31,0.055771687120624164
2006-08-31,0.10296418046306115
2006-09-29,0.013535395873396602
2006-10-31,0.07790243287453462
2006-11-30,-0.08847129246830326
2006-12-28,0.0014372205353873138
2007-01-31,0.027132350225702435
2007-02-28,0.05070027820302283
2007-03-30,0.08431992271855981
2007-04-30,-0.018999280425147133
2007-05-31,-0.8210613722806122
2007-06-29,0.02936159403712965
2007-07-31,0.1862340138104038
2007-08-31,-0.03696132716247913
2007-09-28,0.06324101372994015
2007-10-31,-0.042820423017908275
2007-11-30,-0.01602311951829614
2007-12-28,-0.007564833624356813
2008-01-31,0.0019250229414768956
2008-02-29,-0.05774851580411883
2008-03-31,0.12717290974118892
2008-04-30,-0.04678925076969983
2008-05-30,0.1497829615391878
2008-06-30,-0.022963994297716422
2008-07-31,-0.0687827352276684
2008-08-29,-0.09018764409264983
2008-09-30,-0.029339212690689676
2008-10-31,-0.014969401255153456
2008-11-28,-0.24719072479770798
2008-12-30,-0.08480537721590234
2009-01-30,1.091389126144775
2009-02-27,-0.05304607712631007
2009-03-31,0.3758712086890329
2009-04-30,0.08715873738929227
2009-05-29,0.0028533599330321817
2009-06-30,0.00692039347327991
2009-07-31,0.18269736959782262
2009-08-31,0.03925900243780713
2009-09-30,0.053450687080311754
2009-10-30,-0.12596739689800968
2009-11-30,-0.10195614307912101
2009-12-30,0.18969039472571103
2010-01-29,-0.12441762750343832
2010-02-26,-0.001573429547859705
2010-03-31,0.0037013134096612046
2010-04-30,0.026652434957010886
2010-05-31,-0.003689846497864864
2010-06-30,0.01711919695402038
2010-07-30,-0.11266252023227004
2010-08-31,-0.0429368089430392
2010-09-30,0.04828241189704248
2010-10-29,-0.12085790023117662
2010-11-30,-0.017588187682070336
2010-12-30,0.011990989597306944
2011-01-31,0.2708672931725392
2011-02-28,-0.003824911598229132
2011-03-31,0.1320418533196948
2011-04-29,0.13175807841390771
2011-05-31,-0.031203267447349407
2011-06-30,-0.010263442478531516
2011-07-29,0.0016821078450413762
2011-08-31,-0.14672730153055474
2011-09-30,0.13247816433767984
2011-10-31,0.06594996938267256
2011-11-30,0.036680086190629506
2011-12-29,0.057806019782610074
2012-01-31,0.1224541453895055
2012-02-29,-0.026626591334877176
2012-03-30,0.05728792639768919
2012-04-30,0.08715275696004865
2012-05-31,-0.10911256707789618
2012-06-29,-0.008915306947262074
2012-07-31,0.019389936292078958
2012-08-31,-0.02410159043579677
2012-09-28,-0.014429020704621874
2012-10-31,-0.027129424712655198
2012-11-30,-0.01978785095462988
2012-12-28,-0.04217540997236102
2013-01-31,-0.05507577028447179
2013-02-28,0.08037602958056773
2013-03-29,0.028554263357849836
2013-04-30,-0.03818386495228743
2013-05-31,0.06369206007776618
2013-06-28,-0.03968244146825169
2013-07-31,-0.04299513101298137
2013-08-30,0.06901548533661261
2013-09-30,0.07456601569081872
2013-10-31,0.057544477037720115
2013-11-29,0.01821340152545443
2013-12-30,0.042807012193017094
2014-01-29,-0.07196848104990344
