Date,Sum
2011-02-01,0.47852278418728655
2011-03-01,0.14155942659784265
2011-04-01,0.13627549566264538
2011-05-01,0.03352917847544844
2011-06-01,-0.19473309964182825
2011-07-01,-0.057183225268626445
2011-08-01,0.1686899912625598
2011-09-01,0.19718358694380755
2011-10-01,-0.1120933463349405
2011-11-01,-0.36748793151787923
2011-12-01,0.43278076698435153
2012-01-01,0.19283227937494501
2012-02-01,0.18888932934983424
2012-03-01,-0.007924006220026411
2012-04-01,-0.2291840043428066
2012-05-01,0.015618918376277192
2012-06-01,0.12454762105251052
2012-07-01,0.11765704467759255
2012-08-01,-0.09034050381413505
2012-09-01,-0.3375488071071855
2012-10-01,0.5337462397966324
2012-11-01,0.12524198502197204
2012-12-01,0.11834967872942764
2013-01-01,0.012392683121697202
2013-02-01,-0.19724892207662786
2013-03-01,0.03590609756839129
2013-04-01,0.1033752304339032
2013-05-01,0.011248093579712924
2013-06-01,-0.07560392523924318
2013-07-01,-0.18300369139864497
2013-08-01,0.5087359038248759
2013-09-01,0.09977975576097525
2013-10-01,-0.022961267851251063
2013-11-01,0.04041968558602068
2013-12-01,-0.12897964381356597
2014-01-01,-0.07222241650664447
2014-02-01,0.1281593956543241
2014-03-01,0.12097594034087696
2014-04-01,-0.026046864673609157
2014-05-01,-0.2727676714054932
2014-06-01,0.5508193092493493
2014-07-01,0.008903499751239968
2014-08-01,0.08994789715544514
2014-09-01,-0.014701662335977674
2014-10-01,-0.17312718570161045
2014-11-01,-0.03238658661969111
2014-12-01,0.21640384246370847
2015-01-01,-0.055114674258256176
2015-02-01,0.06181874439393763
2015-03-01,-0.21161636423190328
2015-04-01,0.4244980445124746
2015-05-01,0.0355580356246326
2015-06-01,0.1358296485347267
2015-07-01,0.0025311867695391004
2015-08-01,-0.24372002404970736
2015-09-01,0.03428773151559958
2015-10-01,0.22456773768266566
2015-11-01,-0.13114505724245126
2015-12-01,0.2178910793202256
2016-01-01,-0.2231504859377027
2016-02-01,0.3720127956398203
2016-03-01,0.06811695599298034
2016-04-01,0.09090586310825359
2016-05-01,0.007251577991132425
2016-06-01,-0.23530581782635182
2016-07-01,0.009319031211809527
2016-08-01,0.19847445956843504
2016-09-01,-0.04895540051421958
2016-10-01,0.09992817118126095
2016-11-01,-0.18744416366418717
2016-12-01,0.24572159492546514
2017-01-01,0.23453533429529377
2017-02-01,0.11593234742660062
2017-03-01,-0.10721460290902193
2017-04-01,-0.17367537745761102
2017-05-01,0.04799232987192878
2017-06-01,0.17208437249361305
2017-07-01,-0.058509127348738685
2017-08-01,0.11426959090728066
2017-09-01,-0.14933359055370027
2017-10-01,0.22493371430635467
2017-11-01,0.28354708163492237
2017-12-01,0.04209200298792966
2018-01-01,-0.23323798641453203
2018-02-01,0.015364399604978374
2018-03-01,-0.057254330692470316
2018-04-01,0.2588395688323198
2018-05-01,-0.09443241962758145
2018-06-01,0.1022321721198583
2018-07-01,-0.09961340171747321
2018-08-01,0.23896364591338776
2018-09-01,0.14460587157998003
2018-10-01,0.11605006619400363
2018-11-01,-0.296446785180441
2018-12-01,0.10242066676342003
2019-01-01,-0.04022611329263115
2019-02-01,0.25472751204534416
2019-03-01,-0.21522205890608845
2019-04-01,0.1816339299160556
2019-05-01,-0.011861954603713754
2019-06-01,0.13552249271352676
2019-07-01,0.24194027143872354
2019-08-01,0.0730608581117616
2019-09-01,-0.2582545475611086
2019-10-01,0.01208708606952276
2019-11-01,-0.02584461106514812
2019-12-01,0.30115625684551395
2020-01-01,-0.2239763091795124
2020-02-01,0.16018301925784692
2020-03-01,0.007401844327206142
2020-04-01,0.11628771037749999
2020-05-01,0.27994336381334345
2020-06-01,0.005827237103928552
2020-07-01,-0.23969528606893953
2020-08-01,0.062561831617264
2020-09-01,0.05693302127301603
2020-10-01,0.1608131923631576
2020-11-01,-0.1463976315635187
2020-12-01,0.14810602480809484
